team,number,position,player_name,player_text,team_url,player_url
東京グレートベアーズ,4,MB,ヤン・コザメルニク,#4 MB ヤン・コザメルニク,https://www.svleague.jp/ja/sv_men/team/detail/495,https://www.svleague.jp/ja/sv_men/player/detail/5594
東京グレートベアーズ,5,L,谷口 渉,#5 L 谷口 渉,https://www.svleague.jp/ja/sv_men/team/detail/495,https://www.svleague.jp/ja/sv_men/player/detail/3648
東京グレートベアーズ,6,OH,アレックス・フェレイラ,#6 OH アレックス・フェレイラ,https://www.svleague.jp/ja/sv_men/team/detail/495,https://www.svleague.jp/ja/sv_men/player/detail/5290
東京グレートベアーズ,8,OH,柳田 将洋,#8 OH 柳田 将洋,https://www.svleague.jp/ja/sv_men/team/detail/495,https://www.svleague.jp/ja/sv_men/player/detail/1220
東京グレートベアーズ,9,OH,戸嵜 嵩大,#9 OH 戸嵜 嵩大,https://www.svleague.jp/ja/sv_men/team/detail/495,https://www.svleague.jp/ja/sv_men/player/detail/1442
東京グレートベアーズ,10,L,古賀 太一郎,#10 L 古賀 太一郎,https://www.svleague.jp/ja/sv_men/team/detail/495,https://www.svleague.jp/ja/sv_men/player/detail/1086
東京グレートベアーズ,12,MB,村山 豪,#12 MB 村山 豪,https://www.svleague.jp/ja/sv_men/team/detail/495,https://www.svleague.jp/ja/sv_men/player/detail/4124
東京グレートベアーズ,13,MB,大竹 壱青,#13 MB 大竹 壱青,https://www.svleague.jp/ja/sv_men/team/detail/495,https://www.svleague.jp/ja/sv_men/player/detail/3519
東京グレートベアーズ,15,S,今橋 祐希,#15 S 今橋 祐希,https://www.svleague.jp/ja/sv_men/team/detail/495,https://www.svleague.jp/ja/sv_men/player/detail/4655
東京グレートベアーズ,17,OH,ルチアーノ・ヴィセンティン,#17 OH ルチアーノ・ヴィセンティン,https://www.svleague.jp/ja/sv_men/team/detail/495,https://www.svleague.jp/ja/sv_men/player/detail/5595
東京グレートベアーズ,25,OH,後藤 陸翔,#25 OH 後藤 陸翔,https://www.svleague.jp/ja/sv_men/team/detail/495,https://www.svleague.jp/ja/sv_men/player/detail/4058
東京グレートベアーズ,26,MB,伊藤 吏玖,#26 MB 伊藤 吏玖,https://www.svleague.jp/ja/sv_men/team/detail/495,https://www.svleague.jp/ja/sv_men/player/detail/4898
東京グレートベアーズ,29,L,大前 隆貴,#29 L 大前 隆貴,https://www.svleague.jp/ja/sv_men/team/detail/495,https://www.svleague.jp/ja/sv_men/player/detail/5427
東京グレートベアーズ,30,OH,川野 琢磨,#30 OH 川野 琢磨,https://www.svleague.jp/ja/sv_men/team/detail/495,https://www.svleague.jp/ja/sv_men/player/detail/5673
東京グレートベアーズ,32,S,近藤 蘭丸,#32 S 近藤 蘭丸,https://www.svleague.jp/ja/sv_men/team/detail/495,https://www.svleague.jp/ja/sv_men/player/detail/5658
東京グレートベアーズ,39,OP,髙島 優作,#39 OP 髙島 優作,https://www.svleague.jp/ja/sv_men/team/detail/495,https://www.svleague.jp/ja/sv_men/player/detail/5634
VC長野トライデンツ,1,MB,山田 航旗,#1 MB 山田 航旗,https://www.svleague.jp/ja/sv_men/team/detail/461,https://www.svleague.jp/ja/sv_men/player/detail/4385
VC長野トライデンツ,2,L,藤澤 慶一郎,#2 L 藤澤 慶一郎,https://www.svleague.jp/ja/sv_men/team/detail/461,https://www.svleague.jp/ja/sv_men/player/detail/5631
VC長野トライデンツ,3,OP,酒井 秀輔,#3 OP 酒井 秀輔,https://www.svleague.jp/ja/sv_men/team/detail/461,https://www.svleague.jp/ja/sv_men/player/detail/5574
VC長野トライデンツ,4,MB,千葉 貫世,#4 MB 千葉 貫世,https://www.svleague.jp/ja/sv_men/team/detail/461,https://www.svleague.jp/ja/sv_men/player/detail/5701
VC長野トライデンツ,5,L,難波 宏治,#5 L 難波 宏治,https://www.svleague.jp/ja/sv_men/team/detail/461,https://www.svleague.jp/ja/sv_men/player/detail/4358
VC長野トライデンツ,6,S,赤星 伸城,#6 S 赤星 伸城,https://www.svleague.jp/ja/sv_men/team/detail/461,https://www.svleague.jp/ja/sv_men/player/detail/4453
VC長野トライデンツ,7,L,古藤 宏規,#7 L 古藤 宏規,https://www.svleague.jp/ja/sv_men/team/detail/461,https://www.svleague.jp/ja/sv_men/player/detail/4685
VC長野トライデンツ,8,S,中島 健斗,#8 S 中島 健斗,https://www.svleague.jp/ja/sv_men/team/detail/461,https://www.svleague.jp/ja/sv_men/player/detail/5011
VC長野トライデンツ,9,OH,藤原 奨太,#9 OH 藤原 奨太,https://www.svleague.jp/ja/sv_men/team/detail/461,https://www.svleague.jp/ja/sv_men/player/detail/4154
VC長野トライデンツ,10,MB,安原 大,#10 MB 安原 大,https://www.svleague.jp/ja/sv_men/team/detail/461,https://www.svleague.jp/ja/sv_men/player/detail/5012
VC長野トライデンツ,11,OH,工藤 有史,#11 OH 工藤 有史,https://www.svleague.jp/ja/sv_men/team/detail/461,https://www.svleague.jp/ja/sv_men/player/detail/4687
VC長野トライデンツ,12,S,星名 勇佑,#12 S 星名 勇佑,https://www.svleague.jp/ja/sv_men/team/detail/461,https://www.svleague.jp/ja/sv_men/player/detail/4585
VC長野トライデンツ,13,OP,飯田 孝雅,#13 OP 飯田 孝雅,https://www.svleague.jp/ja/sv_men/team/detail/461,https://www.svleague.jp/ja/sv_men/player/detail/5009
VC長野トライデンツ,14,OP,マシュー・ニーブス,#14 OP マシュー・ニーブス,https://www.svleague.jp/ja/sv_men/team/detail/461,https://www.svleague.jp/ja/sv_men/player/detail/5575
VC長野トライデンツ,17,MB,松本 慶彦,#17 MB 松本 慶彦,https://www.svleague.jp/ja/sv_men/team/detail/461,https://www.svleague.jp/ja/sv_men/player/detail/53
VC長野トライデンツ,18,OH,佐藤 隆哉,#18 OH 佐藤 隆哉,https://www.svleague.jp/ja/sv_men/team/detail/461,https://www.svleague.jp/ja/sv_men/player/detail/5010
VC長野トライデンツ,19,OH,一条 太嘉丸,#19 OH 一条 太嘉丸,https://www.svleague.jp/ja/sv_men/team/detail/461,https://www.svleague.jp/ja/sv_men/player/detail/5079
VC長野トライデンツ,21,OP,岸川 蓮樹,#21 OP 岸川 蓮樹,https://www.svleague.jp/ja/sv_men/team/detail/461,https://www.svleague.jp/ja/sv_men/player/detail/5576
VC長野トライデンツ,22,OH,オスカー・マドセン,#22 OH オスカー・マドセン,https://www.svleague.jp/ja/sv_men/team/detail/461,https://www.svleague.jp/ja/sv_men/player/detail/5577
VC長野トライデンツ,24,MB,安部 翔大,#24 MB 安部 翔大,https://www.svleague.jp/ja/sv_men/team/detail/461,https://www.svleague.jp/ja/sv_men/player/detail/4368
VC長野トライデンツ,26,OH,ファルハン・ハリム,#26 OH ファルハン・ハリム,https://www.svleague.jp/ja/sv_men/team/detail/461,https://www.svleague.jp/ja/sv_men/player/detail/5578
VC長野トライデンツ,30,L,磯脇 侑真,#30 L 磯脇 侑真,https://www.svleague.jp/ja/sv_men/team/detail/461,https://www.svleague.jp/ja/sv_men/player/detail/5702
東レアローズ静岡,1,MB,難波 尭弘,#1 MB 難波 尭弘,https://www.svleague.jp/ja/sv_men/team/detail/257,https://www.svleague.jp/ja/sv_men/player/detail/4137
東レアローズ静岡,2,S,新 貴裕,#2 S 新 貴裕,https://www.svleague.jp/ja/sv_men/team/detail/257,https://www.svleague.jp/ja/sv_men/player/detail/2262
東レアローズ静岡,3,L,山口 拓海,#3 L 山口 拓海,https://www.svleague.jp/ja/sv_men/team/detail/257,https://www.svleague.jp/ja/sv_men/player/detail/3873
東レアローズ静岡,4,S,酒井 啓輔,#4 S 酒井 啓輔,https://www.svleague.jp/ja/sv_men/team/detail/257,https://www.svleague.jp/ja/sv_men/player/detail/3631
東レアローズ静岡,6,OH,楠本 岳,#6 OH 楠本 岳,https://www.svleague.jp/ja/sv_men/team/detail/257,https://www.svleague.jp/ja/sv_men/player/detail/5371
東レアローズ静岡,8,OH,藤中 優斗,#8 OH 藤中 優斗,https://www.svleague.jp/ja/sv_men/team/detail/257,https://www.svleague.jp/ja/sv_men/player/detail/3581
東レアローズ静岡,9,OH,馬渡 拓巳,#9 OH 馬渡 拓巳,https://www.svleague.jp/ja/sv_men/team/detail/257,https://www.svleague.jp/ja/sv_men/player/detail/4559
東レアローズ静岡,10,OH,重藤 トビアス赳,#10 OH 重藤 トビアス赳,https://www.svleague.jp/ja/sv_men/team/detail/257,https://www.svleague.jp/ja/sv_men/player/detail/4638
東レアローズ静岡,11,OP,キリル・クレーツ,#11 OP キリル・クレーツ,https://www.svleague.jp/ja/sv_men/team/detail/257,https://www.svleague.jp/ja/sv_men/player/detail/5587
東レアローズ静岡,12,OH,山田 大貴,#12 OH 山田 大貴,https://www.svleague.jp/ja/sv_men/team/detail/257,https://www.svleague.jp/ja/sv_men/player/detail/4995
東レアローズ静岡,13,MB,テイラー・エイブリル,#13 MB テイラー・エイブリル,https://www.svleague.jp/ja/sv_men/team/detail/257,https://www.svleague.jp/ja/sv_men/player/detail/5588
東レアローズ静岡,15,MB,李 博,#15 MB 李 博,https://www.svleague.jp/ja/sv_men/team/detail/257,https://www.svleague.jp/ja/sv_men/player/detail/1121
東レアローズ静岡,16,MB,上條 レイモンド,#16 MB 上條 レイモンド,https://www.svleague.jp/ja/sv_men/team/detail/257,https://www.svleague.jp/ja/sv_men/player/detail/4458
東レアローズ静岡,17,OH,小澤 宙輝,#17 OH 小澤 宙輝,https://www.svleague.jp/ja/sv_men/team/detail/257,https://www.svleague.jp/ja/sv_men/player/detail/3874
東レアローズ静岡,18,OH,牧 大晃,#18 OH 牧 大晃,https://www.svleague.jp/ja/sv_men/team/detail/257,https://www.svleague.jp/ja/sv_men/player/detail/4470
東レアローズ静岡,19,L,武田 大周,#19 L 武田 大周,https://www.svleague.jp/ja/sv_men/team/detail/257,https://www.svleague.jp/ja/sv_men/player/detail/4996
東レアローズ静岡,20,S,小野寺 瑛輝,#20 S 小野寺 瑛輝,https://www.svleague.jp/ja/sv_men/team/detail/257,https://www.svleague.jp/ja/sv_men/player/detail/4997
東レアローズ静岡,22,MB,中村 竜輔,#22 MB 中村 竜輔,https://www.svleague.jp/ja/sv_men/team/detail/257,https://www.svleague.jp/ja/sv_men/player/detail/3858
東レアローズ静岡,24,OH,フリオ・カルデナス,#24 OH フリオ・カルデナス,https://www.svleague.jp/ja/sv_men/team/detail/257,https://www.svleague.jp/ja/sv_men/player/detail/5589
ジェイテクトSTINGS愛知,1,MB,呂 姜 耀凱,#1 MB 呂 姜 耀凱,https://www.svleague.jp/ja/sv_men/team/detail/268,https://www.svleague.jp/ja/sv_men/player/detail/5579
ジェイテクトSTINGS愛知,2,MB,髙橋 健太郎,#2 MB 髙橋 健太郎,https://www.svleague.jp/ja/sv_men/team/detail/268,https://www.svleague.jp/ja/sv_men/player/detail/1412
ジェイテクトSTINGS愛知,3,MB,堺 爽人,#3 MB 堺 爽人,https://www.svleague.jp/ja/sv_men/team/detail/268,https://www.svleague.jp/ja/sv_men/player/detail/5328
ジェイテクトSTINGS愛知,4,MB,川口 柊人,#4 MB 川口 柊人,https://www.svleague.jp/ja/sv_men/team/detail/268,https://www.svleague.jp/ja/sv_men/player/detail/4705
ジェイテクトSTINGS愛知,6,S,河東 祐大,#6 S 河東 祐大,https://www.svleague.jp/ja/sv_men/team/detail/268,https://www.svleague.jp/ja/sv_men/player/detail/3859
ジェイテクトSTINGS愛知,7,L,荒木 琢真,#7 L 荒木 琢真,https://www.svleague.jp/ja/sv_men/team/detail/268,https://www.svleague.jp/ja/sv_men/player/detail/5580
ジェイテクトSTINGS愛知,9,OP,ステファン・ボワイエ,#9 OP ステファン・ボワイエ,https://www.svleague.jp/ja/sv_men/team/detail/268,https://www.svleague.jp/ja/sv_men/player/detail/5581
ジェイテクトSTINGS愛知,10,OH,藤中 謙也,#10 OH 藤中 謙也,https://www.svleague.jp/ja/sv_men/team/detail/268,https://www.svleague.jp/ja/sv_men/player/detail/1332
ジェイテクトSTINGS愛知,11,OH,秦 耕介,#11 OH 秦 耕介,https://www.svleague.jp/ja/sv_men/team/detail/268,https://www.svleague.jp/ja/sv_men/player/detail/1455
ジェイテクトSTINGS愛知,12,OH,藤原 直也,#12 OH 藤原 直也,https://www.svleague.jp/ja/sv_men/team/detail/268,https://www.svleague.jp/ja/sv_men/player/detail/4979
ジェイテクトSTINGS愛知,16,OP,出水 充希,#16 OP 出水 充希,https://www.svleague.jp/ja/sv_men/team/detail/268,https://www.svleague.jp/ja/sv_men/player/detail/5601
ジェイテクトSTINGS愛知,17,S,前田 一誠,#17 S 前田 一誠,https://www.svleague.jp/ja/sv_men/team/detail/268,https://www.svleague.jp/ja/sv_men/player/detail/1183
ジェイテクトSTINGS愛知,21,L,高橋 和幸,#21 L 高橋 和幸,https://www.svleague.jp/ja/sv_men/team/detail/268,https://www.svleague.jp/ja/sv_men/player/detail/4451
ジェイテクトSTINGS愛知,22,MB,岩本 大吾,#22 MB 岩本 大吾,https://www.svleague.jp/ja/sv_men/team/detail/268,https://www.svleague.jp/ja/sv_men/player/detail/4732
ジェイテクトSTINGS愛知,23,OH,トリー・デファルコ,#23 OH トリー・デファルコ,https://www.svleague.jp/ja/sv_men/team/detail/268,https://www.svleague.jp/ja/sv_men/player/detail/5216
ジェイテクトSTINGS愛知,26,OH,リカルド・ルカレッリ・ソウザ,#26 OH リカルド・ルカレッリ・ソウザ,https://www.svleague.jp/ja/sv_men/team/detail/268,https://www.svleague.jp/ja/sv_men/player/detail/5215
ウルフドッグス名古屋,1,OH,山田 脩造,#1 OH 山田 脩造,https://www.svleague.jp/ja/sv_men/team/detail/258,https://www.svleague.jp/ja/sv_men/player/detail/1235
ウルフドッグス名古屋,2,MB,澤田 晶,#2 MB 澤田 晶,https://www.svleague.jp/ja/sv_men/team/detail/258,https://www.svleague.jp/ja/sv_men/player/detail/5442
ウルフドッグス名古屋,3,S,深津 英臣,#3 S 深津 英臣,https://www.svleague.jp/ja/sv_men/team/detail/258,https://www.svleague.jp/ja/sv_men/player/detail/1118
ウルフドッグス名古屋,4,MB,山﨑 真裕,#4 MB 山﨑 真裕,https://www.svleague.jp/ja/sv_men/team/detail/258,https://www.svleague.jp/ja/sv_men/player/detail/5441
ウルフドッグス名古屋,5,L,渡辺 俊介,#5 L 渡辺 俊介,https://www.svleague.jp/ja/sv_men/team/detail/258,https://www.svleague.jp/ja/sv_men/player/detail/616
ウルフドッグス名古屋,6,OH,ティモシー・カール,#6 OH ティモシー・カール,https://www.svleague.jp/ja/sv_men/team/detail/258,https://www.svleague.jp/ja/sv_men/player/detail/5596
ウルフドッグス名古屋,7,S,早坂 心之介,#7 S 早坂 心之介,https://www.svleague.jp/ja/sv_men/team/detail/258,https://www.svleague.jp/ja/sv_men/player/detail/4743
ウルフドッグス名古屋,8,S,前田 凌吾,#8 S 前田 凌吾,https://www.svleague.jp/ja/sv_men/team/detail/258,https://www.svleague.jp/ja/sv_men/player/detail/5703
ウルフドッグス名古屋,9,OH,エイメン・ブゲラ,#9 OH エイメン・ブゲラ,https://www.svleague.jp/ja/sv_men/team/detail/258,https://www.svleague.jp/ja/sv_men/player/detail/5597
ウルフドッグス名古屋,10,MB,佐藤 駿一郎,#10 MB 佐藤 駿一郎,https://www.svleague.jp/ja/sv_men/team/detail/258,https://www.svleague.jp/ja/sv_men/player/detail/4733
ウルフドッグス名古屋,11,MB,傳田 亮太,#11 MB 傳田 亮太,https://www.svleague.jp/ja/sv_men/team/detail/258,https://www.svleague.jp/ja/sv_men/player/detail/1237
ウルフドッグス名古屋,12,OH,水町 泰杜,#12 OH 水町 泰杜,https://www.svleague.jp/ja/sv_men/team/detail/258,https://www.svleague.jp/ja/sv_men/player/detail/5008
ウルフドッグス名古屋,15,OP,宮浦 健人,#15 OP 宮浦 健人,https://www.svleague.jp/ja/sv_men/team/detail/258,https://www.svleague.jp/ja/sv_men/player/detail/4123
ウルフドッグス名古屋,17,L,市川 健太,#17 L 市川 健太,https://www.svleague.jp/ja/sv_men/team/detail/258,https://www.svleague.jp/ja/sv_men/player/detail/4398
ウルフドッグス名古屋,18,S,上林 直澄,#18 S 上林 直澄,https://www.svleague.jp/ja/sv_men/team/detail/258,https://www.svleague.jp/ja/sv_men/player/detail/5086
ウルフドッグス名古屋,22,OP,豊田 譲,#22 OP 豊田 譲,https://www.svleague.jp/ja/sv_men/team/detail/258,https://www.svleague.jp/ja/sv_men/player/detail/5483
ウルフドッグス名古屋,26,OH,山崎 彰都,#26 OH 山崎 彰都,https://www.svleague.jp/ja/sv_men/team/detail/258,https://www.svleague.jp/ja/sv_men/player/detail/3964
ウルフドッグス名古屋,99,MB,ノルベルト・フベル,#99 MB ノルベルト・フベル,https://www.svleague.jp/ja/sv_men/team/detail/258,https://www.svleague.jp/ja/sv_men/player/detail/5598
大阪ブルテオン,1,OP,清水 邦広,#1 OP 清水 邦広,https://www.svleague.jp/ja/sv_men/team/detail/256,https://www.svleague.jp/ja/sv_men/player/detail/486
大阪ブルテオン,3,S,中村 駿介,#3 S 中村 駿介,https://www.svleague.jp/ja/sv_men/team/detail/256,https://www.svleague.jp/ja/sv_men/player/detail/4210
大阪ブルテオン,4,MB,金田 晃太朗,#4 MB 金田 晃太朗,https://www.svleague.jp/ja/sv_men/team/detail/256,https://www.svleague.jp/ja/sv_men/player/detail/5434
大阪ブルテオン,5,OH,富田 将馬,#5 OH 富田 将馬,https://www.svleague.jp/ja/sv_men/team/detail/256,https://www.svleague.jp/ja/sv_men/player/detail/3872
大阪ブルテオン,6,S,アントワーヌ・ブリザール,#6 S アントワーヌ・ブリザール,https://www.svleague.jp/ja/sv_men/team/detail/256,https://www.svleague.jp/ja/sv_men/player/detail/5582
大阪ブルテオン,8,OH,仲本 賢優,#8 OH 仲本 賢優,https://www.svleague.jp/ja/sv_men/team/detail/256,https://www.svleague.jp/ja/sv_men/player/detail/3903
大阪ブルテオン,9,MB,彭 世坤,#9 MB 彭 世坤,https://www.svleague.jp/ja/sv_men/team/detail/256,https://www.svleague.jp/ja/sv_men/player/detail/5655
大阪ブルテオン,10,MB,山内 晶大,#10 MB 山内 晶大,https://www.svleague.jp/ja/sv_men/team/detail/256,https://www.svleague.jp/ja/sv_men/player/detail/1328
大阪ブルテオン,11,OP,西田 有志,#11 OP 西田 有志,https://www.svleague.jp/ja/sv_men/team/detail/256,https://www.svleague.jp/ja/sv_men/player/detail/1449
大阪ブルテオン,12,S,野添 凌,#12 S 野添 凌,https://www.svleague.jp/ja/sv_men/team/detail/256,https://www.svleague.jp/ja/sv_men/player/detail/5679
大阪ブルテオン,13,L,山本 智大,#13 L 山本 智大,https://www.svleague.jp/ja/sv_men/team/detail/256,https://www.svleague.jp/ja/sv_men/player/detail/1391
大阪ブルテオン,15,OH,甲斐 優斗,#15 OH 甲斐 優斗,https://www.svleague.jp/ja/sv_men/team/detail/256,https://www.svleague.jp/ja/sv_men/player/detail/5426
大阪ブルテオン,16,L,池城 浩太朗,#16 L 池城 浩太朗,https://www.svleague.jp/ja/sv_men/team/detail/256,https://www.svleague.jp/ja/sv_men/player/detail/5051
大阪ブルテオン,18,OP,西山 大翔,#18 OP 西山 大翔,https://www.svleague.jp/ja/sv_men/team/detail/256,https://www.svleague.jp/ja/sv_men/player/detail/4625
大阪ブルテオン,19,MB,西川 馨太郎,#19 MB 西川 馨太郎,https://www.svleague.jp/ja/sv_men/team/detail/256,https://www.svleague.jp/ja/sv_men/player/detail/4731
大阪ブルテオン,22,OH,ブライアン・バグナス,#22 OH ブライアン・バグナス,https://www.svleague.jp/ja/sv_men/team/detail/256,https://www.svleague.jp/ja/sv_men/player/detail/5583
大阪ブルテオン,23,MB,エバデダン ラリー アイケー,#23 MB エバデダン ラリー アイケー,https://www.svleague.jp/ja/sv_men/team/detail/256,https://www.svleague.jp/ja/sv_men/player/detail/4428
大阪ブルテオン,81,OH,ミゲル・ロペス,#81 OH ミゲル・ロペス,https://www.svleague.jp/ja/sv_men/team/detail/256,https://www.svleague.jp/ja/sv_men/player/detail/5287
サントリーサンバーズ大阪,1,MB,小野寺 太志,#1 MB 小野寺 太志,https://www.svleague.jp/ja/sv_men/team/detail/252,https://www.svleague.jp/ja/sv_men/player/detail/1458
サントリーサンバーズ大阪,2,MB,佐藤 謙次,#2 MB 佐藤 謙次,https://www.svleague.jp/ja/sv_men/team/detail/252,https://www.svleague.jp/ja/sv_men/player/detail/3541
サントリーサンバーズ大阪,5,S,下川 諒,#5 S 下川 諒,https://www.svleague.jp/ja/sv_men/team/detail/252,https://www.svleague.jp/ja/sv_men/player/detail/4406
サントリーサンバーズ大阪,7,OH,デアルマス アライン,#7 OH デアルマス アライン,https://www.svleague.jp/ja/sv_men/team/detail/252,https://www.svleague.jp/ja/sv_men/player/detail/4323
サントリーサンバーズ大阪,8,S,関田 誠大,#8 S 関田 誠大,https://www.svleague.jp/ja/sv_men/team/detail/252,https://www.svleague.jp/ja/sv_men/player/detail/1331
サントリーサンバーズ大阪,10,L,小川 智大,#10 L 小川 智大,https://www.svleague.jp/ja/sv_men/team/detail/252,https://www.svleague.jp/ja/sv_men/player/detail/3574
サントリーサンバーズ大阪,11,L,藤中 颯志,#11 L 藤中 颯志,https://www.svleague.jp/ja/sv_men/team/detail/252,https://www.svleague.jp/ja/sv_men/player/detail/4386
サントリーサンバーズ大阪,12,OH,髙橋 藍,#12 OH 髙橋 藍,https://www.svleague.jp/ja/sv_men/team/detail/252,https://www.svleague.jp/ja/sv_men/player/detail/5199
サントリーサンバーズ大阪,13,OP,ドミトリー・ムセルスキー,#13 OP ドミトリー・ムセルスキー,https://www.svleague.jp/ja/sv_men/team/detail/252,https://www.svleague.jp/ja/sv_men/player/detail/3540
サントリーサンバーズ大阪,14,MB,鬼木 錬,#14 MB 鬼木 錬,https://www.svleague.jp/ja/sv_men/team/detail/252,https://www.svleague.jp/ja/sv_men/player/detail/4698
サントリーサンバーズ大阪,15,L,喜入 祥充,#15 L 喜入 祥充,https://www.svleague.jp/ja/sv_men/team/detail/252,https://www.svleague.jp/ja/sv_men/player/detail/1456
サントリーサンバーズ大阪,17,MB,樫村 大仁,#17 MB 樫村 大仁,https://www.svleague.jp/ja/sv_men/team/detail/252,https://www.svleague.jp/ja/sv_men/player/detail/4201
サントリーサンバーズ大阪,18,OH,イゴール・クリュカ,#18 OH イゴール・クリュカ,https://www.svleague.jp/ja/sv_men/team/detail/252,https://www.svleague.jp/ja/sv_men/player/detail/5602
サントリーサンバーズ大阪,19,OP,甲斐 孝太郎,#19 OP 甲斐 孝太郎,https://www.svleague.jp/ja/sv_men/team/detail/252,https://www.svleague.jp/ja/sv_men/player/detail/5047
サントリーサンバーズ大阪,21,OH,髙橋 塁,#21 OH 髙橋 塁,https://www.svleague.jp/ja/sv_men/team/detail/252,https://www.svleague.jp/ja/sv_men/player/detail/4416
サントリーサンバーズ大阪,22,OH,鍬田 憲伸,#22 OH 鍬田 憲伸,https://www.svleague.jp/ja/sv_men/team/detail/252,https://www.svleague.jp/ja/sv_men/player/detail/4415
サントリーサンバーズ大阪,23,MB,柏田 樹,#23 MB 柏田 樹,https://www.svleague.jp/ja/sv_men/team/detail/252,https://www.svleague.jp/ja/sv_men/player/detail/3907
日本製鉄堺ブレイザーズ,1,OP,マシュー・アンダーソン,#1 OP マシュー・アンダーソン,https://www.svleague.jp/ja/sv_men/team/detail/251,https://www.svleague.jp/ja/sv_men/player/detail/5584
日本製鉄堺ブレイザーズ,2,MB,山根 大幸,#2 MB 山根 大幸,https://www.svleague.jp/ja/sv_men/team/detail/251,https://www.svleague.jp/ja/sv_men/player/detail/5437
日本製鉄堺ブレイザーズ,3,OH,安井 恒介,#3 OH 安井 恒介,https://www.svleague.jp/ja/sv_men/team/detail/251,https://www.svleague.jp/ja/sv_men/player/detail/4694
日本製鉄堺ブレイザーズ,4,OH,髙野 直哉,#4 OH 髙野 直哉,https://www.svleague.jp/ja/sv_men/team/detail/251,https://www.svleague.jp/ja/sv_men/player/detail/1276
日本製鉄堺ブレイザーズ,5,L,堀江 友裕,#5 L 堀江 友裕,https://www.svleague.jp/ja/sv_men/team/detail/251,https://www.svleague.jp/ja/sv_men/player/detail/3825
日本製鉄堺ブレイザーズ,6,L,森 愛樹,#6 L 森 愛樹,https://www.svleague.jp/ja/sv_men/team/detail/251,https://www.svleague.jp/ja/sv_men/player/detail/2273
日本製鉄堺ブレイザーズ,7,OH,高梨 健太,#7 OH 高梨 健太,https://www.svleague.jp/ja/sv_men/team/detail/251,https://www.svleague.jp/ja/sv_men/player/detail/3585
